prices,address,no_beds,baths,sqft
225000, 12513 Mexicana Cv Del Valle TX 78617 ,4,3,2896
1099000, 1411 Haskell St #1 Austin TX 78702 ,4,3,2305
385000, 1102 Clayton Ln Austin TX 78723 ,4,4,3571
475000, 7729 Kiva Dr Austin TX 78749 ,4,4,2599
574000, 1501 Barton Springs Rd APT 225 Austin TX 78704 ,4,4,2291
499000, 9006 Brimstone Ln Austin TX 78717 ,4,3,1821
950000, 1504 Hillmont St Austin TX 78704 ,4,2,2025
270000, 4530 Best Way Austin TX 78725 ,4,3,3243
325000, 9604 Night Star Dr Del Valle TX 78617 ,4,4,3056
595000, 2108 Tillery St #10 Austin TX 78723 ,4,3,1911
375000, 2702 Gettysburg Dr Austin TX 78745 ,4,4,2943
445000, 311 W 5th St UNIT 706 Austin TX 78701 ,4,3,2773
360000, 7302 Bennett Ave #A Austin TX 78752 ,4,3,1902
5950000, 5404 Maryanna Dr Austin TX 78746 ,4,3,2896
550000, 8714 Fritsch Dr Austin TX 78717 ,4,3,2305
387990, The Rushmore Plan Pioneer Hill ,4,4,3571
175500, 935 La Posada Dr #133 Austin TX 78752 ,4,4,2599
622990, Plan 216 Plan Highpointe: 80ft. lots ,4,4,2291
450000, 806 Northwestern Ave Austin TX 78702 ,4,3,1821
390000, 2001 Faro Dr APT 42 Austin TX 78741 ,4,2,2025
400000, 6107 Calmar Cv Austin TX 78721 ,4,3,3243
499000, 8800 Frock Ct Austin TX 78748 ,4,4,3056
928000, 222 West Ave UNIT 1814 Austin TX 78701 ,4,3,1911
329900, 7310 Salt Springs Dr Austin TX 78744 ,4,4,2943
315000, 7107 Silver Star Ln Austin TX 78744 ,4,3,2773
350000, 123 Thelonious Dr Austin TX 78745 ,4,3,1902
437700, 1121 Emmitt Run Austin TX 78721 ,4,3,2896
550000, 9116 Villa Norte Dr Austin TX 78726 ,4,3,2305
590000, 2816 Oak Springs Dr #A Austin TX 78702 ,4,4,3571
445000, 1702 S Lamar Blvd UNIT 21 Austin TX 78704 ,4,4,2599
295000, 4604 S 1st St Austin TX 78745 ,4,4,2291
395000, 9602 Point Vista Pl Austin TX 78753 ,4,3,1821
287990, The Denton Plan Tiermo ,4,2,2025
312990, The Midland Plan Tiermo ,4,3,3243
2300000, 2508 Pecos St Austin TX 78703 ,4,4,3056
359900, 11405 Ruffed Grouse Dr Austin TX 78758 ,4,3,1911
351990, The Washington Plan Pioneer Hill ,4,4,2943
1999999, 10001 Thaxton Rd Austin TX 78747 ,4,3,2773
434900, 4501 Muskdeer Dr Austin TX 78749 ,4,3,1902
300000, 4361 S Congress Ave UNIT 428 Austin TX 78745 ,4,3,2896
459000, 13553 Anarosa Loop Austin TX 78727 ,4,3,2305
240000, 1005 Markham Ln APT B Austin TX 78753 ,4,4,3571
700000, 2812 Oak Springs Dr #1 Austin TX 78702 ,4,4,2599
415000, Turnbull Loop Austin TX 78717 ,4,4,2291
299000, 5328 Balcones Dr APT G Austin TX 78731 ,4,3,1821
495000, 925 E 49th St Austin TX 78751 ,4,2,2025
649000, Haven Plan Alder ,4,3,3243
249000, 2967 E 51st St Austin TX 78723 ,4,4,3056
298900, 4611 Graceful Ln Austin TX 78725 ,4,3,1911
216000, 6904 Point North Dr Austin TX 78724 ,4,4,2943
310000, 2200 Dickson Dr APT 218 Austin TX 78704 ,4,3,2773
175000, 1411 Gracy Farms Ln APT 134 Austin TX 78758 ,4,3,1902
499000, 11222 Blossom Bell Dr Austin TX 78758 ,4,3,2896
270000, 1421 Dominique Dr Austin TX 78753 ,4,3,2305
549000, 1600 Barton Springs Rd UNIT 2203 Austin TX 78704 ,4,4,3571
350000, 6103 Calmar Cv Austin TX 78721 ,4,4,2599
482500, 10905 Strand St Austin TX 78748 ,4,4,2291
420000, 1212 Guadalupe St APT 402 Austin TX 78701 ,4,3,1821
219000, 1015 E Yager Ln UNIT 209 Austin TX 78753 ,4,2,2025
339000, 3633 Ruby Red Dr Austin TX 78728 ,4,3,3243
360000, 12911 Turkey Run Austin TX 78727 ,4,4,3056
275000, 3101 Davis Ln APT 8602 Austin TX 78748 ,4,3,1911
350000, 10549 Bilbrook Pl Austin TX 78748 ,4,4,2943
575000, 8003 Isaac Pryor Dr Austin TX 78749 ,5,3,3074
675000, 125 Granite Ln Austin TX 78737 ,5,5,4198
399900, 11312 Dawes Pl Austin TX 78754 ,5,3,2874
780000, 174 Jayne Cv Austin TX 78737 ,5,5,3698
850000, 2516 Lipizzan Dr Austin TX 78732 ,5,5,4359
695000, 11100 Aragon Dr Austin TX 78759 ,5,3,2231
1678000, 2500 University Club Dr Austin TX 78732 ,5,6,4886
725000, 12355 Mesa Verde Dr Austin TX 78737 ,5,4,3744
550000, 3808 Woodchester Ln Austin TX 78727 ,5,3,3074
303990, The Midland Plan Forest Bluff ,5,5,4198
1180000, 2000 Arpdale St Austin TX 78704 ,5,3,2874
2790000, 1306 Darter Ln Austin TX 78746 ,5,5,3698
539500, 1300 Lipan Trl Austin TX 78733 ,5,5,4359
305000, 1207 Faircrest Dr Austin TX 78753 ,5,3,2231
449900, 849 Cripple Creek Dr Austin TX 78758 ,5,6,4886
775000, 208 Ben Howell Dr UNIT A Austin TX 78704 ,5,4,3744
579900, 11132 Amesite Trl Austin TX 78726 ,5,4,3302
525000, 9301 Silk Oak Cv Austin TX 78748 ,5,4,3302
449000, 40 N Interstate Highway 35 APT 6D4 Austin TX 78701 ,5,4,3302
419000, 100 W Mockingbird Ln #202 Austin TX 78745 ,5,4,3302
253000, 5332 Balcones Dr APT D Austin TX 78731 ,5,4,3302
825000, 11612 Sierra Nevada Austin TX 78759 ,5,4,3302
460000, 9520 Morgan Creek Dr Austin TX 78717 ,5,4,3302
750000, 1605 Newfield Ln Austin TX 78703 ,5,4,3302
10995000, 1607 Manana St Austin TX 78730 ,8,1,10887
230000, 12309 Furrow Cv APT B Austin TX 78753 ,8,1,955
